date,eurusd,eu_business_confidence,eu_consumer_confidence,eu_consumer_credit_change,eu_consumer_spending,eu_core_inflation_rate,eu_current_account,eu_disposasble_personal_income,eu_exports,eu_gdp_yoy,eu_households_debt_to_gdp,eu_imports,eu_industrial_production,eu_inflation_rate,eu_interest_rate,eu_manufacturing_production,eu_money_supply_m2,eu_personal_savings_ratio,eu_ppi_change_yoy,eu_retail_sales_yoy,eu_unemployed_persons,eu_unemployment_rate,eu_wages,eu_youth_unemployment_rate,us_business_confidence,us_consumer_confidence,us_consumer_credit_change,us_consumer_spending,us_core_inflation_rate,us_current_account,us_disposasble_personal_income,us_exports,us_gdp_yoy,us_households_debt_to_gdp,us_imports,us_industrial_production,us_inflation_rate,us_interest_rate,us_manufacturing_production,us_money_supply_m2,us_personal_savings_ratio,us_ppi_change_yoy,us_retail_sales_yoy,us_unemployed_persons,us_unemployment_rate,us_wages,us_youth_unemployment_rate
01/02/2000 00:00,0.983807295,0.406666667,-0.2,444176.474,396.4046333,1,-0.273333333,369950.3333,74302.1,1.4,15.93333333,76805.1,5.6,1.9,3.25,5.6,4137846,4.236666667,3.8,3.7,13161,9.3,446,16.5,18.3,111.3,10.7,2684.966667,2.2,-31646.66667,2428.633333,86142,1.4,21.9,116071,4.6,3.2,5.75,4.7,4658.7,1.3,3.98,9,5858,4.1,4.613333333,9.9
01/03/2000 00:00,0.964674905,0.406666667,0.6,448524,396.4046333,0.9,-0.273333333,369950.3333,86628,1.4,15.93333333,87244.2,5.3,1.9,3.5,5.1,4148236,4.236666667,4.2,0.4,13029,9.2,446,16.2,18.3,107.1,12.3,2684.966667,2.4,-31646.66667,2428.633333,87368,1.4,21.9,118523,4.8,3.8,6,5.5,4689.6,1.3,4.35,9.8,5733,4,4.613333333,9.6
01/04/2000 00:00,0.944878335,0.416666667,1.6,451757.189,399.8926333,1,-2.09,375474.3333,72181.2,1.5,16,74533.7,5.4,1.7,3.75,5.7,4173291,4.253333333,3.9,3.7,12901,9.1,449.3333333,16,17.13333333,109.2,9.1,2710.733333,2.3,-32288.66667,2461.1,88855,1.766666667,22.03333333,117655,5.3,3.1,6,5.8,4742.9,1.4,3.64,7.4,5481,3.8,4.66,9.2
01/05/2000 00:00,0.905701026,0.416666667,2.2,453861.546,399.8926333,0.9,-2.09,375474.3333,87005.8,1.5,16,90645.5,7.1,1.7,3.75,7.7,4167949,4.253333333,4.5,4.4,12825,9,449.3333333,15.9,17.13333333,110.7,13,2710.733333,2.4,-32288.66667,2461.1,88017,1.766666667,22.03333333,117830,4.7,3.2,6.5,4.7,4733.6,1.4,3.7,6.5,5758,4,4.66,9.8
01/06/2000 00:00,0.94940706,0.416666667,1.4,456563,399.8926333,1,-2.09,375474.3333,83119.3,1.5,16,84966.7,4,2.1,4.25,5,4168646,4.253333333,4.8,3.2,12769,9,449.3333333,15.8,17.13333333,106.4,26,2710.733333,2.5,-32288.66667,2461.1,90771,1.766666667,22.03333333,121737,5,3.7,6.5,5.3,4750.8,1.4,4.45,7,5651,4,4.66,9.3
01/07/2000 00:00,0.939771995,0.386666667,2,460219.906,402.0244333,0.9,-4.106666667,379939,83145.1,1.3,16.06666667,81481.6,4,2,4.25,4.8,4184282,4.316666667,4.8,2.3,12714,8.9,453.3333333,15.8,16.56666667,108.3,20.2,2737.1,2.5,-34977.66667,2503.933333,90421,1.366666667,22.3,121848,4.2,3.7,6.5,4.9,4768.7,1.266666667,4.29,5.9,5747,4,4.71,9.3
01/08/2000 00:00,0.904449787,0.386666667,2.1,462866.274,402.0244333,0.9,-4.106666667,379939,77163.4,1.3,16.06666667,80841.9,8.5,2,4.5,8.6,4211140,4.316666667,4.8,0.2,12641,8.9,453.3333333,15.8,16.56666667,107.3,21.9,2737.1,2.6,-34977.66667,2503.933333,92424,1.366666667,22.3,122459,3.4,3.4,6.5,3.6,4796.7,1.266666667,3.37,4.9,5853,4.1,4.71,9.3
01/09/2000 00:00,0.872882494,0.386666667,-1.6,469264.025,402.0244333,1,-4.106666667,379939,86727.5,1.3,16.06666667,90478.5,4.3,2.5,4.5,5.2,4212073,4.316666667,5.5,4,12574,8.8,453.3333333,15.6,16.56666667,106.8,17.4,2737.1,2.6,-34977.66667,2503.933333,92347,1.366666667,22.3,126365,4.3,3.5,6.5,4.4,4832.3,1.266666667,3.49,6.2,5625,3.9,4.71,8.9
01/10/2000 00:00,0.853348327,0.343333333,-0.6,470791.137,402.2258,1.1,-1.593333333,386515,94841.6,1.133333333,16.2,97258.1,3.2,2.4,4.75,3.8,4223855,4.506666667,5.6,2.5,12433,8.7,456.6666667,15.4,14.63333333,105.8,15.6,2761.466667,2.5,-35570.66667,2519.333333,91511,0.966666667,22.56666667,124734,2.6,3.4,6.5,2.6,4848.7,1.166666667,3.7,5.8,5534,3.9,4.763333333,8.9
01/11/2000 00:00,0.855897012,0.343333333,-0.4,471715.453,402.2258,1.1,-1.593333333,386515,95157.6,1.133333333,16.2,98840.6,4.1,2.5,4.75,4.5,4228570,4.506666667,5.5,3.1,12346,8.6,456.6666667,15.2,14.63333333,107.6,16.4,2761.466667,2.6,-35570.66667,2519.333333,91388,0.966666667,22.56666667,123996,2.1,3.4,6.5,1.7,4859.6,1.166666667,3.78,4.2,5639,3.9,4.763333333,9.1
