date,gbpusd,uk_business_confidence,uk_consumer_confidence,uk_consumer_credit_change,uk_consumer_spending,uk_core_inflation_rate,uk_current_account,uk_disposasble_personal_income,uk_exports,uk_gdp_yoy,uk_households_debt_to_gdp,uk_imports,uk_industrial_production,uk_inflation_rate,uk_interest_rate,uk_manufacturing_production,uk_money_supply_m2,uk_personal_savings_ratio,uk_ppi_change_yoy,uk_retail_sales_yoy,uk_unemployed_persons,uk_unemployment_rate,uk_wages,uk_youth_unemployment_rate,us_business_confidence,us_consumer_confidence,us_consumer_credit_change,us_consumer_spending,us_core_inflation_rate,us_current_account,us_disposasble_personal_income,us_exports,us_gdp_yoy,us_households_debt_to_gdp,us_imports,us_industrial_production,us_inflation_rate,us_interest_rate,us_manufacturing_production,us_money_supply_m2,us_personal_savings_ratio,us_ppi_change_yoy,us_retail_sales_yoy,us_unemployed_persons,us_unemployment_rate,us_wages,us_youth_unemployment_rate
01/02/2000 00:00,1.59860547,3,2,1335,76093.66667,0.2,-1829.333333,77622.66667,21086,1.466666667,21.13333333,22648,3.6,0.9,6,4.2,553125,2.6,1.2,4.5,1152.2,5.8,103.6666667,12.4,18.3,111.3,10.7,2684.966667,2.2,-31646.66667,2428.633333,86142,1.4,21.9,116071,4.6,3.2,5.75,4.7,4658.7,1.3,3.98,9,5858,4.1,4.613333333,9.9
01/03/2000 00:00,1.579483907,3,-2,1615,76093.66667,0.1,-1829.333333,77622.66667,21861,1.466666667,21.13333333,23005,2.7,0.6,6,3,557369,2.6,1.2,4.1,1144,5.8,103.6666667,12.7,18.3,107.1,12.3,2684.966667,2.4,-31646.66667,2428.633333,87368,1.4,21.9,118523,4.8,3.8,6,5.5,4689.6,1.3,4.35,9.8,5733,4,4.613333333,9.6
01/04/2000 00:00,1.581582964,-0.666666667,-4,928,76483,0,-2212.333333,78877.66667,21833,1.666666667,21.3,23534,3.5,0.6,6,3.8,560987,2.733333333,1.2,6.3,1113.3,5.7,103.6666667,12.7,17.13333333,109.2,9.1,2710.733333,2.3,-32288.66667,2461.1,88855,1.766666667,22.03333333,117655,5.3,3.1,6,5.8,4742.9,1.4,3.64,7.4,5481,3.8,4.66,9.2
01/05/2000 00:00,1.505666001,-0.666666667,2,1552,76483,0,-2212.333333,78877.66667,22041,1.666666667,21.3,23740,2.9,0.5,6,3.2,563316,2.733333333,1.2,3.5,1104.7,5.6,103.6666667,12.3,17.13333333,110.7,13,2710.733333,2.4,-32288.66667,2461.1,88017,1.766666667,22.03333333,117830,4.7,3.2,6.5,4.7,4733.6,1.4,3.7,6.5,5758,4,4.66,9.8
01/06/2000 00:00,1.5083239,-0.666666667,0,1033,76483,-0.1,-2212.333333,78877.66667,22868,1.666666667,21.3,24415,2.8,0.8,6,2.9,565827,2.733333333,1.6,2.8,1093.6,5.5,103.6666667,11.8,17.13333333,106.4,26,2710.733333,2.5,-32288.66667,2461.1,90771,1.766666667,22.03333333,121737,5,3.7,6.5,5.3,4750.8,1.4,4.45,7,5651,4,4.66,9.3
01/07/2000 00:00,1.508475586,-3.333333333,-3,1215,77325.33333,-0.1,-1989.666667,80972.33333,22011,1.166666667,21.4,24452,1.4,0.9,6,1.7,568893,3.2,1.8,2.7,1074.7,5.3,105.6666667,11.7,16.56666667,108.3,20.2,2737.1,2.5,-34977.66667,2503.933333,90421,1.366666667,22.3,121848,4.2,3.7,6.5,4.9,4768.7,1.266666667,4.29,5.9,5747,4,4.71,9.3
01/08/2000 00:00,1.490160599,-3.333333333,1,726,77325.33333,0,-1989.666667,80972.33333,23013,1.166666667,21.4,24547,1,0.6,6,1.6,572413,3.2,1.4,3.8,1060.4,5.3,105.6666667,11.9,16.56666667,107.3,21.9,2737.1,2.6,-34977.66667,2503.933333,92424,1.366666667,22.3,122459,3.4,3.4,6.5,3.6,4796.7,1.266666667,3.37,4.9,5853,4.1,4.71,9.3
01/09/2000 00:00,1.436134275,-3.333333333,-5,1115,77325.33333,0.1,-1989.666667,80972.33333,22782,1.166666667,21.4,24694,-0.1,1,6,-0.1,578745,3.2,1.4,3.9,1044.8,5.3,105.6666667,12,16.56666667,106.8,17.4,2737.1,2.6,-34977.66667,2503.933333,92347,1.366666667,22.3,126365,4.3,3.5,6.5,4.4,4832.3,1.266666667,3.49,6.2,5625,3.9,4.71,8.9
01/10/2000 00:00,1.450878966,-3,0,1324,78048,0.3,-1711.333333,81545.66667,23494,0.733333333,21.56666667,25077,0,1,6,1.1,584987,3.4,1.7,3.9,1044.7,5.4,108.3333333,12,14.63333333,105.8,15.6,2761.466667,2.5,-35570.66667,2519.333333,91511,0.966666667,22.56666667,124734,2.6,3.4,6.5,2.6,4848.7,1.166666667,3.7,5.8,5534,3.9,4.763333333,8.9
01/11/2000 00:00,1.425475628,-3,-2,1201,78048,0.2,-1711.333333,81545.66667,23926,0.733333333,21.56666667,25655,0.6,1.1,6,1.6,583450,3.4,1.7,3.3,1035.6,5.3,108.3333333,12,14.63333333,107.6,16.4,2761.466667,2.6,-35570.66667,2519.333333,91388,0.966666667,22.56666667,123996,2.1,3.4,6.5,1.7,4859.6,1.166666667,3.78,4.2,5639,3.9,4.763333333,9.1
